National Park,Rank
Great Smoky Mountains,1
Grand Canyon,2
Rocky Mountain,3
Zion,4
Yosemite,5
Yellowstone,6
Acadia,7
Grand Teton,8
Olympic,9
Glacier,10
Joshua Tree,11
Bryce Canyon,12
Cuyahoga Valley,13
Indiana Dunes,14
Gateway Arch,15
Death Valley,16
Arches,17
Mount Rainier,18
Hot Springs,19
Shenandoah,20
Hawaii Volcanoes,21
Sequoia,22
Capitol Reef,23
New River Gorge,24
Everglades,25
Saguaro,26
Haleakala,27
Badlands,28
Canyonlands,29
Biscayne,30
Crater Lake,31
Theodore Roosevelt,32
Glacier Bay,33
Petrified Forest,34
Kings Canyon,35
Wind Cave,36
White Sands,37
Denali,38
Mesa Verde,39
Mammoth Cave,40
Great Sand Dunes,41
Lassen Volcanic,42
Redwood,43
Big Bend,44
Carlsbad Caverns,45
Black Canyon of the Gunnison,46
Channel Islands,47
Kenai Fjords,48
Voyageurs,49
Guadalupe Mountains,50
Pinnacles,51
Congaree,52
Virgin Islands,53
Great Basin,54
Katmai,55
Dry Tortugas,56
Wrangell-St. Elias,57
American Samoa,58
North Cascades,59
Isle Royale,60
Lake Clark,61
Kobuk Valley,62
Gates of the Arctic,63
