National Park,Rank
Yosemite,1
Grand Teton,2
Glacier,3
Kenai Fjords,4
Great Smoky Mountains,5
Olympic,6
Wrangell-St. Elias,7
Mount Rainier,8
Denali,9
Yellowstone,10
Glacier Bay,11
Zion,12
Katmai,13
North Cascades,14
Rocky Mountain,15
Lake Clark,16
Isle Royale,17
Acadia,18
Bryce Canyon,19
Death Valley,20
Kings Canyon,21
Shenandoah,22
Grand Canyon,23
Big Bend,24
Sequoia,25
Redwood,26
Arches,27
Crater Lake,28
Lassen Volcanic,29
Great Basin,30
Canyonlands,31
Virgin Islands,32
Great Sand Dunes,33
Cuyahoga Valley,34
Hawaii Volcanoes,35
Joshua Tree,36
Haleakala,37
Capitol Reef,38
Badlands,39
Everglades,40
Mesa Verde,41
Channel Islands,42
Biscayne,43
Black Canyon of the Gunnison,44
Pinnacles,45
Voyageurs,46
Dry Tortugas,47
Mammoth Cave,48
Guadalupe Mountains,49
American Samoa,50
Carlsbad Caverns,51
Gates of the Arctic,52
Wind Cave,53
Indiana Dunes,54
Congaree,55
Petrified Forest,56
Theodore Roosevelt,57
Saguaro,58
Hot Springs,59
Gateway Arch,60
White Sands,61
Kobuk Valley,62
New River Gorge,63
