National Park,Rank
Yosemite,1
Glacier,2
Olympic,3
Mount Rainier,4
Yellowstone,5
Great Smoky Mountains,6
Zion,7
North Cascades,8
Grand Teton,9
Rocky Mountain,10
Denali,11
Acadia,12
Death Valley,13
Shenandoah,14
Grand Canyon,15
Kings Canyon,16
Sequoia,17
Arches,18
Bryce Canyon,19
Redwood,20
Kenai Fjords,21
Lassen Volcanic,22
Katmai,23
Wrangell-St. Elias,24
Canyonlands,25
Crater Lake,26
Glacier Bay,27
Great Sand Dunes,28
Isle Royale,29
Cuyahoga Valley,30
Lake Clark,31
Big Bend,32
Joshua Tree,33
Haleakala,34
Virgin Islands,35
Capitol Reef,36
Everglades,37
Mesa Verde,38
Hawaii Volcanoes,39
Badlands,40
Channel Islands,41
Biscayne,42
Great Basin,43
Black Canyon of the Gunnison,44
Pinnacles,45
Voyageurs,46
Dry Tortugas,47
Mammoth Cave,48
Guadalupe Mountains,49
American Samoa,50
Carlsbad Caverns,51
Gates of the Arctic,52
Wind Cave,53
Indiana Dunes,54
Congaree,55
Petrified Forest,56
Theodore Roosevelt,57
Saguaro,58
Hot Springs,59
Gateway Arch,60
Kobuk Valley,61
